Date,Open,High,Low,Close
1/28/2022,"36,223","38,009","35,934","37,818"
1/27/2022,"36,371","37,168","35,551","36,223"
1/26/2022,"36,632","38,874","36,371","36,371"
1/25/2022,"36,851","37,501","35,741","36,632"
1/24/2022,"35,379","37,397","33,070","36,851"
1/23/2022,"35,461","36,157","34,694","35,389"
1/22/2022,"36,701","37,149","34,163","35,461"
1/21/2022,"41,391","41,524","36,208","36,689"
1/20/2022,"41,733","43,517","41,389","41,391"
1/19/2022,"42,401","42,604","41,200","41,739"
1/18/2022,"41,741","42,476","41,319","42,401"
1/17/2022,"43,011","43,275","41,632","41,741"
1/16/2022,"43,332","43,472","42,622","43,011"
1/15/2022,"43,329","43,775","42,620","43,346"
1/14/2022,"42,826","43,411","41,865","43,329"
1/13/2022,"43,815","44,401","42,354","42,826"
1/12/2022,"42,686","44,303","42,498","43,815"
1/11/2022,"41,705","43,109","41,304","42,686"
1/10/2022,"42,314","42,484","39,712","41,705"
1/9/2022,"41,786","42,771","41,285","42,334"
1/8/2022,"41,884","42,206","40,614","41,786"
1/7/2022,"43,114","43,233","40,769","41,908"
1/6/2022,"43,658","43,764","42,529","43,114"
1/5/2022,"46,298","46,851","43,522","43,658"
1/4/2022,"46,055","47,490","45,586","46,298"
1/3/2022,"47,026","47,544","45,745","46,055"
1/2/2022,"47,312","47,946","46,709","47,021"
1/1/2022,"46,338","47,912","46,196","47,312"
12/31/2021,"47,239","48,564","45,715","46,322"
12/30/2021,"47,233","47,893","46,019","47,239"
12/29/2021,"47,586","48,152","46,664","47,210"
12/28/2021,"50,990","51,228","47,330","47,586"
12/27/2021,"50,802","51,976","50,487","50,996"
12/26/2021,"51,003","51,003","49,568","50,802"
12/25/2021,"50,898","51,144","50,220","51,001"
12/24/2021,"50,849","51,836","50,513","50,898"
12/23/2021,"49,082","51,364","48,077","50,843"
12/22/2021,"49,103","49,557","48,477","49,082"
12/21/2021,"47,013","49,318","46,676","49,059"
12/20/2021,"46,741","47,524","45,581","47,013"
12/19/2021,"46,941","48,285","46,468","46,741"
12/18/2021,"46,946","47,335","45,557","46,941"
12/17/2021,"48,139","48,163","45,539","46,946"
12/16/2021,"49,221","49,398","47,715","48,139"
12/15/2021,"48,280","49,495","46,631","49,221"
12/14/2021,"46,892","48,639","46,378","48,280"
12/13/2021,"49,981","50,380","45,871","46,892"
12/12/2021,"48,847","50,767","48,672","49,981"
12/11/2021,"47,984","49,285","46,880","48,847"
12/10/2021,"47,996","49,982","47,355","47,984"
12/9/2021,"50,634","50,851","47,377","47,996"
12/8/2021,"50,500","51,182","48,750","50,634"
12/7/2021,"50,126","51,942","50,126","50,500"
12/6/2021,"49,275","50,426","47,290","50,007"
12/5/2021,"48,770","49,746","47,892","49,275"
12/4/2021,"53,648","53,874","42,169","48,745"
12/3/2021,"56,904","57,464","52,653","53,672"
12/2/2021,"57,026","57,362","55,859","56,904"
12/1/2021,"57,144","59,093","56,547","57,026"
11/30/2021,"58,266","59,146","55,932","57,144"
11/29/2021,"56,281","58,878","56,104","58,266"
11/28/2021,"54,601","56,402","53,578","56,281"
11/27/2021,"54,101","55,339","53,605","54,601"
11/26/2021,"58,834","59,342","53,577","54,101"
11/25/2021,"57,334","59,399","56,918","58,834"
11/24/2021,"57,696","57,755","55,928","57,334"
11/23/2021,"56,278","57,847","55,537","57,696"
11/22/2021,"59,568","59,574","55,706","56,278"
11/21/2021,"59,682","60,044","58,630","59,568"
11/20/2021,"57,924","59,725","57,570","59,682"
11/19/2021,"57,606","58,396","55,688","57,924"
11/18/2021,"60,101","60,956","56,777","57,583"
11/17/2021,"60,509","61,067","58,567","60,101"
11/16/2021,"63,864","64,015","58,870","60,557"
11/15/2021,"64,361","66,311","63,659","63,864"
11/14/2021,"64,317","65,297","63,673","64,373"
11/13/2021,"64,130","64,941","63,412","64,317"
11/12/2021,"65,030","65,459","62,334","64,072"
11/11/2021,"64,193","65,597","63,984","65,030"
11/10/2021,"67,802","68,925","63,052","64,387"
11/9/2021,"66,143","68,494","66,112","67,802"
11/8/2021,"62,862","66,504","62,817","66,175"
11/7/2021,"61,226","63,058","61,226","62,862"
11/6/2021,"60,966","61,594","60,184","61,223"
11/5/2021,"61,364","62,571","60,791","60,966"
11/4/2021,"62,769","63,211","60,776","61,378"
11/3/2021,"63,140","63,543","61,029","62,769"
11/2/2021,"60,652","64,243","60,460","63,140"
11/1/2021,"60,968","62,466","59,716","60,652"
10/31/2021,"61,698","62,400","60,058","60,968"
10/30/2021,"62,420","62,490","60,876","61,705"
10/29/2021,"61,398","62,943","60,315","62,420"
10/28/2021,"58,957","62,321","57,964","61,465"
10/27/2021,"62,095","62,095","58,153","58,957"
10/26/2021,"62,546","63,272","61,863","62,068"
10/25/2021,"61,153","63,688","60,654","62,546"
10/24/2021,"61,087","61,451","59,571","61,124"
10/23/2021,"60,728","61,716","59,764","61,087"
10/22/2021,"62,707","63,694","60,100","60,752"
10/21/2021,"65,980","66,612","62,368","62,707"
10/20/2021,"64,120","66,923","63,594","65,971"
10/19/2021,"61,369","64,322","61,139","64,120"
10/18/2021,"59,472","62,626","59,395","61,445"
10/17/2021,"61,013","61,408","59,071","59,472"
10/16/2021,"62,496","62,526","60,184","61,024"
10/15/2021,"57,449","62,719","56,896","62,496"
10/14/2021,"56,988","58,488","56,916","57,491"
10/13/2021,"55,364","57,479","54,325","56,988"
10/12/2021,"57,390","57,631","54,404","55,364"
10/11/2021,"55,425","57,767","54,445","57,390"
10/10/2021,"54,651","56,370","54,211","55,425"
10/9/2021,"53,951","55,410","53,738","54,651"
10/8/2021,"54,205","55,981","53,659","53,951"
10/7/2021,"54,903","55,588","53,496","54,205"
10/6/2021,"51,378","55,399","50,476","54,903"
10/5/2021,"49,016","51,757","48,595","51,378"
10/4/2021,"48,465","49,491","46,993","49,016"
10/3/2021,"48,045","49,158","47,139","48,552"
10/2/2021,"48,139","48,441","47,480","48,045"
10/1/2021,"43,432","48,122","43,302","48,110"
9/30/2021,"41,133","44,110","40,984","43,432"
9/29/2021,"41,792","42,538","40,806","41,114"
9/28/2021,"42,708","43,364","41,145","41,792"
9/27/2021,"43,607","44,318","42,689","42,696"
9/26/2021,"42,719","43,695","40,827","43,607"
9/25/2021,"43,001","43,162","41,750","42,719"
9/24/2021,"44,679","45,076","40,944","43,001"
9/23/2021,"43,445","44,932","43,051","44,679"
9/22/2021,"40,971","43,988","39,721","43,445"
9/21/2021,"43,489","43,904","40,391","40,971"
9/20/2021,"47,588","47,660","42,636","43,489"
9/19/2021,"48,008","48,359","47,182","47,588"
9/18/2021,"47,028","48,797","46,828","48,008"
9/17/2021,"47,102","48,167","46,775","47,028"
9/16/2021,"47,941","48,497","47,063","47,102"
9/15/2021,"46,828","48,436","46,418","47,948"
9/14/2021,"45,186","46,926","44,724","46,828"
9/13/2021,"45,023","46,697","43,561","45,144"
9/12/2021,"45,317","46,198","44,781","45,023"
9/11/2021,"45,094","46,000","44,304","45,333"
9/10/2021,"46,265","47,041","44,879","45,094"
9/9/2021,"46,154","47,384","45,586","46,268"
9/8/2021,"46,825","47,357","44,548","46,154"
9/7/2021,"51,930","52,918","43,917","46,777"
9/6/2021,"51,753","52,142","51,044","51,930"
9/5/2021,"50,195","51,652","49,527","51,652"
9/4/2021,"50,152","50,543","49,535","50,195"
9/3/2021,"49,553","50,999","48,379","50,184"
9/2/2021,"48,271","50,333","48,268","49,556"
9/1/2021,"47,008","48,953","46,567","48,279"
8/31/2021,"48,670","48,679","46,725","46,996"
8/30/2021,"48,927","49,394","47,500","48,670"
8/29/2021,"48,760","49,605","47,922","48,897"
8/28/2021,"48,913","49,306","48,405","48,760"
8/27/2021,"47,048","49,076","46,383","48,946"
8/26/2021,"48,721","49,372","46,444","47,048"
8/25/2021,"48,364","49,147","47,193","48,748"
8/24/2021,"49,525","49,852","47,856","48,364"
8/23/2021,"48,425","50,478","48,315","49,509"
8/22/2021,"49,070","49,466","48,225","48,425"
8/21/2021,"48,653","49,799","48,374","48,988"
8/20/2021,"46,587","48,993","46,361","48,653"
8/19/2021,"44,593","46,831","44,016","46,568"
8/18/2021,"45,017","45,965","44,283","44,593"
8/17/2021,"46,065","47,140","44,601","45,017"
8/16/2021,"46,750","48,047","45,728","46,065"
8/15/2021,"46,665","47,349","45,615","46,750"
8/14/2021,"47,545","48,103","46,201","46,665"
8/13/2021,"44,440","47,775","43,912","47,545"
8/12/2021,"46,340","46,391","43,844","44,440"
8/11/2021,"45,627","46,752","45,276","46,340"
8/10/2021,"45,482","46,608","44,695","45,627"
8/9/2021,"43,855","46,431","42,832","45,482"
8/8/2021,"43,945","45,276","43,331","43,855"
8/7/2021,"42,696","44,557","42,404","43,945"
8/6/2021,"40,908","43,314","39,942","42,673"
8/5/2021,"39,745","41,367","37,454","40,908"
8/4/2021,"38,113","39,851","37,558","39,706"
8/3/2021,"38,861","39,773","37,768","38,113"
8/2/2021,"41,310","41,313","38,720","38,857"
8/1/2021,"41,516","42,551","40,694","41,310"
7/31/2021,"40,860","42,247","40,693","41,516"
7/30/2021,"39,722","41,290","38,389","40,860"
7/29/2021,"40,068","40,630","39,337","39,722"
7/28/2021,"38,000","40,830","37,988","40,068"
7/27/2021,"37,598","38,732","36,453","38,000"
7/26/2021,"34,481","40,502","34,455","37,598"
7/25/2021,"33,919","34,800","33,851","34,481"
7/24/2021,"32,477","34,518","32,476","33,919"
7/23/2021,"32,257","32,879","32,038","32,477"
7/22/2021,"31,864","32,597","31,716","32,257"
7/21/2021,"29,864","32,800","29,513","31,864"
7/20/2021,"30,793","31,004","29,336","29,864"
7/19/2021,"31,663","31,920","30,568","30,793"
7/18/2021,"31,755","32,404","31,159","31,663"
7/17/2021,"31,850","31,932","31,224","31,755"
7/16/2021,"31,748","32,233","31,085","31,850"
7/15/2021,"32,811","33,162","31,174","31,748"
7/14/2021,"32,519","33,066","31,628","32,811"
7/13/2021,"32,833","33,315","32,239","32,519"
7/12/2021,"33,859","34,611","32,660","32,833"
7/11/2021,"33,329","34,077","33,279","33,859"
7/10/2021,"33,508","34,229","33,098","33,329"
7/9/2021,"32,788","33,667","32,302","33,508"
7/8/2021,"34,550","34,550","32,142","32,788"
7/7/2021,"33,941","35,040","33,724","34,550"
7/6/2021,"33,847","35,058","33,601","33,941"
7/5/2021,"35,542","35,945","33,171","33,847"
7/4/2021,"34,715","35,679","34,297","35,542"
7/3/2021,"33,124","34,926","33,106","34,715"
7/2/2021,"33,411","33,955","32,747","33,124"
7/1/2021,"34,585","35,203","32,819","33,411"
6/30/2021,"36,156","36,301","34,075","34,585"
6/29/2021,"34,682","36,548","34,142","36,156"
6/28/2021,"32,648","35,224","32,493","34,721"
6/27/2021,"31,315","33,555","30,968","32,648"
6/26/2021,"32,212","32,638","30,190","31,329"
6/25/2021,"34,858","35,496","31,508","32,212"
6/24/2021,"33,066","35,228","32,364","34,857"
6/23/2021,"32,895","34,789","31,772","33,066"
6/22/2021,"32,622","33,240","29,002","32,895"
6/21/2021,"35,853","35,905","31,822","32,622"
6/20/2021,"36,193","36,193","33,400","35,853"
6/19/2021,"35,493","36,396","34,888","36,193"
6/18/2021,"37,752","38,186","35,204","35,493"
6/17/2021,"38,550","39,510","37,448","37,752"
6/16/2021,"39,943","40,473","38,364","38,550"
6/15/2021,"39,836","41,289","39,612","39,949"
6/14/2021,"40,926","40,926","39,382","39,809"
6/13/2021,"36,041","38,830","34,982","38,830"
6/12/2021,"37,331","37,342","35,509","36,041"
6/11/2021,"36,410","37,537","36,217","37,331"
6/10/2021,"36,387","38,389","35,850","36,410"
6/9/2021,"33,625","36,825","32,466","36,406"
6/8/2021,"34,454","34,630","31,101","33,638"
6/7/2021,"35,938","36,767","34,155","34,471"
6/6/2021,"35,857","36,454","34,874","35,897"
6/5/2021,"37,071","37,942","35,396","35,826"
6/4/2021,"38,691","39,277","35,626","37,071"
6/3/2021,"37,739","39,469","37,249","38,693"
6/2/2021,"36,313","38,213","35,976","37,739"
6/1/2021,"36,677","37,852","35,792","36,330"
5/31/2021,"36,080","37,465","34,230","36,677"
5/30/2021,"34,266","36,354","33,554","36,115"
5/29/2021,"35,260","37,236","33,687","34,266"
5/28/2021,"38,476","39,189","35,201","35,245"
5/27/2021,"38,756","40,401","37,266","38,476"
5/26/2021,"37,656","40,859","37,526","38,731"
5/25/2021,"39,067","39,845","36,553","37,656"
5/24/2021,"33,791","39,831","33,715","38,999"
5/23/2021,"38,093","38,397","31,228","33,791"
5/22/2021,"35,250","38,800","33,623","38,086"
5/21/2021,"40,108","42,124","35,263","35,263"
5/20/2021,"38,468","42,569","35,132","40,108"
5/19/2021,"43,367","43,569","30,445","38,390"
5/18/2021,"44,853","45,816","42,539","43,318"
5/17/2021,"44,062","46,552","42,162","44,843"
5/16/2021,"48,266","49,812","43,893","44,062"
5/15/2021,"49,351","50,661","47,128","48,255"
5/14/2021,"49,253","51,543","48,528","49,351"
5/13/2021,"54,540","54,820","46,710","49,253"
5/12/2021,"56,942","57,977","53,646","54,540"
5/11/2021,"55,328","56,949","54,612","56,942"
5/10/2021,"58,001","59,552","54,000","55,328"
5/9/2021,"59,014","59,318","56,530","57,982"
5/8/2021,"57,713","59,556","56,915","59,014"
5/7/2021,"55,987","58,683","55,350","57,699"
5/6/2021,"56,863","58,334","55,427","55,987"
5/5/2021,"54,842","57,909","53,058","56,854"
5/4/2021,"56,821","57,465","53,330","54,842"
5/3/2021,"57,016","58,973","56,306","56,826"
5/2/2021,"57,685","57,948","56,130","57,016"
5/1/2021,"56,812","58,459","56,726","57,700"
4/30/2021,"52,991","57,295","52,871","56,803"
4/29/2021,"54,456","55,191","52,408","53,006"
4/28/2021,"55,180","56,369","53,913","54,456"
4/27/2021,"53,297","55,289","52,689","55,067"
4/26/2021,"48,065","54,363","47,110","53,297"
4/25/2021,"50,955","51,113","48,075","48,075"
4/24/2021,"50,556","51,215","48,821","50,955"
4/23/2021,"51,597","52,220","47,657","50,620"
4/22/2021,"55,029","55,410","51,515","51,843"
4/21/2021,"56,781","57,079","54,346","55,029"
4/20/2021,"56,175","57,035","53,463","56,852"
4/19/2021,"56,231","57,554","54,305","56,175"
4/18/2021,"60,843","60,966","51,907","56,239"
4/17/2021,"61,977","62,490","59,747","60,843"
4/16/2021,"63,381","63,769","60,081","61,962"
4/15/2021,"62,403","63,649","62,034","63,381"
4/14/2021,"63,196","64,788","61,368","62,357"
4/13/2021,"60,000","63,621","59,783","63,196"
4/12/2021,"59,607","61,224","59,429","60,011"
4/11/2021,"58,606","60,649","58,599","59,607"
4/10/2021,"58,354","61,197","57,876","58,621"
4/9/2021,"57,677","58,879","57,473","58,354"
4/8/2021,"56,221","58,134","55,752","57,681"
4/7/2021,"58,244","58,624","55,494","56,157"
4/6/2021,"58,800","59,469","57,391","58,244"
4/5/2021,"58,030","59,231","56,886","58,810"
4/4/2021,"58,038","58,463","56,504","58,030"
4/3/2021,"58,655","59,797","57,848","58,063"
4/2/2021,"58,862","60,118","58,526","58,655"
4/1/2021,"58,932","59,441","58,021","58,855"
3/31/2021,"58,671","59,831","57,054","58,932"
3/30/2021,"57,250","59,408","57,078","58,671"
3/29/2021,"54,863","58,335","54,830","57,176"
3/28/2021,"55,909","56,616","54,740","54,863"
3/27/2021,"54,014","56,254","53,986","55,916"
3/26/2021,"51,989","54,262","51,309","54,014"
3/25/2021,"54,175","54,175","50,485","51,989"
3/24/2021,"54,445","57,159","53,294","54,175"
3/23/2021,"54,610","55,816","53,100","54,346"
3/22/2021,"57,788","58,373","54,316","54,610"
3/21/2021,"58,466","58,792","55,578","57,792"
3/20/2021,"58,404","59,909","57,890","58,466"
3/19/2021,"57,533","59,436","56,303","58,426"
3/18/2021,"57,706","60,040","57,145","57,533"
3/17/2021,"56,392","58,197","54,298","57,834"
3/16/2021,"56,398","56,952","53,311","56,379"
3/15/2021,"60,259","60,738","55,030","56,398"
3/14/2021,"61,002","61,674","59,348","60,173"
3/13/2021,"56,990","61,732","56,144","61,002"
3/12/2021,"57,721","58,118","55,160","56,981"
3/11/2021,"56,954","57,918","54,416","57,721"
3/10/2021,"54,313","57,357","53,235","56,932"
3/9/2021,"51,883","54,818","51,448","54,313"
3/8/2021,"50,104","51,949","49,368","51,896"
3/7/2021,"48,592","51,343","48,552","50,104"
3/6/2021,"49,138","49,391","47,147","48,583"
3/5/2021,"47,917","49,442","46,472","49,138"
3/4/2021,"50,952","51,777","47,555","47,924"
3/3/2021,"47,466","52,564","47,422","50,952"
3/2/2021,"48,844","50,200","47,144","47,477"
3/1/2021,"45,254","49,412","44,970","48,844"
2/28/2021,"46,844","46,859","43,197","45,255"
2/27/2021,"45,680","48,321","45,118","46,844"
2/26/2021,"48,199","48,821","44,246","45,621"
2/25/2021,"48,720","52,054","48,119","48,199"
2/24/2021,"48,084","51,337","47,039","48,720"
2/23/2021,"54,919","55,032","45,212","48,016"
2/22/2021,"57,332","57,616","48,034","54,919"
2/21/2021,"56,523","58,315","54,040","57,332"
2/20/2021,"55,493","57,485","55,101","56,501"
2/19/2021,"52,051","56,211","50,880","55,493"
2/18/2021,"52,333","52,524","51,023","52,059"
2/17/2021,"48,607","52,619","48,590","52,333"
2/16/2021,"48,183","50,513","47,186","48,642"
2/15/2021,"48,840","49,277","45,944","48,183"
2/14/2021,"47,210","49,698","46,954","48,921"
2/13/2021,"47,962","48,143","46,342","47,210"
2/12/2021,"46,943","48,842","46,438","47,853"
2/11/2021,"45,050","48,593","44,090","46,943"
2/10/2021,"47,357","47,357","43,783","45,039"
2/9/2021,"44,692","48,219","44,356","47,357"
2/8/2021,"38,610","44,797","38,085","44,797"
2/7/2021,"40,085","40,481","37,422","38,610"
2/6/2021,"37,853","40,972","37,714","40,103"
2/5/2021,"37,687","38,325","36,642","37,853"
2/4/2021,"37,284","38,725","36,281","37,712"
2/3/2021,"35,710","37,450","35,473","37,284"
2/2/2021,"33,667","35,982","33,470","35,686"
2/1/2021,"32,608","34,698","32,397","33,667"
1/31/2021,"34,649","34,789","32,237","32,626"
1/30/2021,"34,642","35,344","32,880","34,649"
1/29/2021,"33,274","38,641","32,002","34,715"
1/28/2021,"30,941","33,286","29,970","33,274"
